ele_no,dof_no,value
264,0,2000
265,0,2000
266,0,2000
267,0,2000
268,0,2000
269,0,2000
270,0,2000
271,0,2000
280,0,2000
281,0,2000
282,0,2000
283,0,2000
284,0,2000
285,0,2000
286,0,2000
287,0,2000
296,0,2000
297,0,2000
298,0,2000
299,0,2000
300,0,2000
301,0,2000
302,0,2000
303,0,2000
312,0,2000
313,0,2000
314,0,2000
315,0,2000
316,0,2000
317,0,2000
318,0,2000
319,0,2000
328,0,2000
329,0,2000
330,0,2000
331,0,2000
332,0,2000
333,0,2000
334,0,2000
335,0,2000
344,0,2000
345,0,2000
346,0,2000
347,0,2000
348,0,2000
349,0,2000
350,0,2000
351,0,2000
360,0,2000
361,0,2000
362,0,2000
363,0,2000
364,0,2000
365,0,2000
366,0,2000
367,0,2000
376,0,2000
377,0,2000
378,0,2000
379,0,2000
380,0,2000
381,0,2000
382,0,2000
383,0,2000
392,0,2000
393,0,2000
394,0,2000
395,0,2000
396,0,2000
397,0,2000
398,0,2000
399,0,2000
408,0,2000
409,0,2000
410,0,2000
411,0,2000
412,0,2000
413,0,2000
414,0,2000
415,0,2000
424,0,2000
425,0,2000
426,0,2000
427,0,2000
428,0,2000
429,0,2000
430,0,2000
431,0,2000
440,0,2000
441,0,2000
442,0,2000
443,0,2000
444,0,2000
445,0,2000
446,0,2000
447,0,2000
456,0,2000
457,0,2000
458,0,2000
459,0,2000
460,0,2000
461,0,2000
462,0,2000
463,0,2000
472,0,2000
473,0,2000
474,0,2000
475,0,2000
476,0,2000
477,0,2000
478,0,2000
479,0,2000
488,0,2000
489,0,2000
490,0,2000
491,0,2000
492,0,2000
493,0,2000
494,0,2000
495,0,2000
504,0,2000
505,0,2000
506,0,2000
507,0,2000
508,0,2000
509,0,2000
510,0,2000
511,0,2000