node_no,dof_no,value
0,0,30
1,0,30
2,0,30
3,0,30
4,0,30
5,0,30
6,0,30
7,0,30
8,0,30
9,0,30
10,0,30
11,0,30
12,0,30
13,0,30
14,0,30
15,0,30
16,0,30
17,0,30
18,0,30
19,0,30
20,0,30
21,0,30
22,0,30
23,0,30
24,0,30
25,0,30
26,0,30
27,0,30
28,0,30
29,0,30
30,0,30
31,0,30
32,0,30
2112,0,20
2113,0,20
2114,0,20
2115,0,20
2116,0,20
2117,0,20
2118,0,20
2119,0,20
2120,0,20
2121,0,20
2122,0,20
2123,0,20
2124,0,20
2125,0,20
2126,0,20
2127,0,20
2128,0,20
2129,0,20
2130,0,20
2131,0,20
2132,0,20
2133,0,20
2134,0,20
2135,0,20
2136,0,20
2137,0,20
2138,0,20
2139,0,20
2140,0,20
2141,0,20
2142,0,20
2143,0,20
2144,0,20